intent,id,n_key_nodes,n_hit_in_answer,overlap_pct,zero_curation,n_relevant_nodes,n_expected_path,n_non_hp_edges,missing_short_names,hits_in_answer
command,kubectl_force_delete_pod,86,1,1,1,86,111,11,AWSElasticBlockStoreVolumeSource|Affinity|AppArmorProfile|AzureDiskVolumeSource|AzureFileVolumeSource|CSIVolumeSource|CephFSVolumeSource|CinderVolumeSource|ConfigMap|ConfigMapVolumeSource|Container|ContainerExtendedResourceRequest|ContainerPort|ContainerResizePolicy|ContainerRestartRule|ContainerState|ContainerStatus|ContainerUser|DownwardAPIVolumeSource|EmptyDirVolumeSource|EnvFromSource|EnvVar|EphemeralContainer|EphemeralVolumeSource|FCVolumeSource|FlexVolumeSource|FlockerVolumeSource|GCEPersistentDiskVolumeSource|GitRepoVolumeSource|GlusterfsVolumeSource|HostAlias|HostIP|HostPathVolumeSource|ISCSIVolumeSource|ImageVolumeSource|Lifecycle|LocalObjectReference|NFSVolumeSource|NodeAffinity|ObjectReference|PersistentVolumeClaimVolumeSource|PhotonPersistentDiskVolumeSource|PodAffinity|PodAntiAffinity|PodCondition|PodDNSConfig|PodDNSConfigOption|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodSpec|PodStatus|PortworxVolumeSource|Probe|ProjectedVolumeSource|QuobyteVolumeSource|RBDVolumeSource|ResourceClaim|ResourceRequirements|ResourceStatus|SELinuxOptions|ScaleIOVolumeSource|SeccompProfile|Secret|SecretVolumeSource|SecurityContext|ServiceAccount|StorageOSVolumeSource|Sysctl|Toleration|TopologySpreadConstraint|Volume|VolumeDevice|VolumeMount|VolumeMountStatus|VsphereVirtualDiskVolumeSource|WindowsSecurityContextOptions|WorkloadReference|Quantity|LabelSelector,Pod
troubleshooting,crashloopbackoff_oomkilled,87,2,2,1,87,112,11,AWSElasticBlockStoreVolumeSource|Affinity|AppArmorProfile|AzureDiskVolumeSource|AzureFileVolumeSource|CSIVolumeSource|CephFSVolumeSource|CinderVolumeSource|ConfigMap|ConfigMapVolumeSource|ContainerExtendedResourceRequest|ContainerPort|ContainerResizePolicy|ContainerRestartRule|ContainerState|ContainerStateTerminated|ContainerStatus|ContainerUser|DownwardAPIVolumeSource|EmptyDirVolumeSource|EnvFromSource|EnvVar|EphemeralContainer|EphemeralVolumeSource|FCVolumeSource|FlexVolumeSource|FlockerVolumeSource|GCEPersistentDiskVolumeSource|GitRepoVolumeSource|GlusterfsVolumeSource|HostAlias|HostIP|HostPathVolumeSource|ISCSIVolumeSource|ImageVolumeSource|Lifecycle|LocalObjectReference|NFSVolumeSource|NodeAffinity|ObjectReference|PersistentVolumeClaimVolumeSource|PhotonPersistentDiskVolumeSource|PodAffinity|PodAntiAffinity|PodCondition|PodDNSConfig|PodDNSConfigOption|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodSpec|PodStatus|PortworxVolumeSource|Probe|ProjectedVolumeSource|QuobyteVolumeSource|RBDVolumeSource|ResourceClaim|ResourceRequirements|ResourceStatus|SELinuxOptions|ScaleIOVolumeSource|SeccompProfile|Secret|SecretVolumeSource|SecurityContext|ServiceAccount|StorageOSVolumeSource|Sysctl|Toleration|TopologySpreadConstraint|Volume|VolumeDevice|VolumeMount|VolumeMountStatus|VsphereVirtualDiskVolumeSource|WindowsSecurityContextOptions|WorkloadReference|Quantity|LabelSelector,Container|Pod
troubleshooting,pod_pending_no_resources,86,2,2,1,86,111,11,AWSElasticBlockStoreVolumeSource|Affinity|AppArmorProfile|AzureDiskVolumeSource|AzureFileVolumeSource|CSIVolumeSource|CephFSVolumeSource|CinderVolumeSource|ConfigMap|ConfigMapVolumeSource|Container|ContainerExtendedResourceRequest|ContainerPort|ContainerResizePolicy|ContainerRestartRule|ContainerState|ContainerStatus|ContainerUser|DownwardAPIVolumeSource|EmptyDirVolumeSource|EnvFromSource|EnvVar|EphemeralContainer|EphemeralVolumeSource|FCVolumeSource|FlexVolumeSource|FlockerVolumeSource|GCEPersistentDiskVolumeSource|GitRepoVolumeSource|GlusterfsVolumeSource|HostAlias|HostIP|HostPathVolumeSource|ISCSIVolumeSource|ImageVolumeSource|Lifecycle|LocalObjectReference|NFSVolumeSource|NodeAffinity|ObjectReference|PersistentVolumeClaimVolumeSource|PhotonPersistentDiskVolumeSource|PodAffinity|PodAntiAffinity|PodCondition|PodDNSConfig|PodDNSConfigOption|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodStatus|PortworxVolumeSource|Probe|ProjectedVolumeSource|QuobyteVolumeSource|RBDVolumeSource|ResourceClaim|ResourceRequirements|ResourceStatus|SELinuxOptions|ScaleIOVolumeSource|SeccompProfile|Secret|SecretVolumeSource|SecurityContext|ServiceAccount|StorageOSVolumeSource|Sysctl|Toleration|TopologySpreadConstraint|Volume|VolumeDevice|VolumeMount|VolumeMountStatus|VsphereVirtualDiskVolumeSource|WindowsSecurityContextOptions|WorkloadReference|Quantity|LabelSelector,Pod|PodSpec
troubleshooting,deployment_rollout_stuck,29,1,3,1,29,32,6,DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|RollingUpdateDeployment|Affinity|Container|EphemeralContainer|HostAlias|LocalObjectReference|PodDNSConfig|PodOS|PodReadinessGate|PodResourceClaim|PodSchedulingGate|PodSecurityContext|PodSpec|PodTemplateSpec|ResourceRequirements|Secret|ServiceAccount|Toleration|TopologySpreadConstraint|Volume|WorkloadReference|Quantity|LabelSelector|LabelSelectorRequirement,Deployment
command,kubectl_find_pods_with_env,86,4,5,1,86,111,11,AWSElasticBlockStoreVolumeSource|Affinity|AppArmorProfile|AzureDiskVolumeSource|AzureFileVolumeSource|CSIVolumeSource|CephFSVolumeSource|CinderVolumeSource|ConfigMapVolumeSource|ContainerExtendedResourceRequest|ContainerPort|ContainerResizePolicy|ContainerRestartRule|ContainerState|ContainerStatus|ContainerUser|DownwardAPIVolumeSource|EmptyDirVolumeSource|EnvFromSource|EnvVar|EphemeralContainer|EphemeralVolumeSource|FCVolumeSource|FlexVolumeSource|FlockerVolumeSource|GCEPersistentDiskVolumeSource|GitRepoVolumeSource|GlusterfsVolumeSource|HostAlias|HostIP|HostPathVolumeSource|ISCSIVolumeSource|ImageVolumeSource|Lifecycle|LocalObjectReference|NFSVolumeSource|NodeAffinity|ObjectReference|PersistentVolumeClaimVolumeSource|PhotonPersistentDiskVolumeSource|PodAffinity|PodAntiAffinity|PodCondition|PodDNSConfig|PodDNSConfigOption|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodSpec|PodStatus|PortworxVolumeSource|Probe|ProjectedVolumeSource|QuobyteVolumeSource|RBDVolumeSource|ResourceClaim|ResourceRequirements|ResourceStatus|SELinuxOptions|ScaleIOVolumeSource|SeccompProfile|SecretVolumeSource|SecurityContext|ServiceAccount|StorageOSVolumeSource|Sysctl|Toleration|TopologySpreadConstraint|Volume|VolumeDevice|VolumeMount|VolumeMountStatus|VsphereVirtualDiskVolumeSource|WindowsSecurityContextOptions|WorkloadReference|Quantity|LabelSelector,ConfigMap|Container|Pod|Secret
troubleshooting,imagepullbackoff_registry_secret,86,4,5,1,86,111,11,AWSElasticBlockStoreVolumeSource|Affinity|AppArmorProfile|AzureDiskVolumeSource|AzureFileVolumeSource|CSIVolumeSource|CephFSVolumeSource|CinderVolumeSource|ConfigMap|ConfigMapVolumeSource|Container|ContainerExtendedResourceRequest|ContainerPort|ContainerResizePolicy|ContainerRestartRule|ContainerState|ContainerStatus|ContainerUser|DownwardAPIVolumeSource|EmptyDirVolumeSource|EnvFromSource|EnvVar|EphemeralContainer|EphemeralVolumeSource|FCVolumeSource|FlexVolumeSource|FlockerVolumeSource|GCEPersistentDiskVolumeSource|GitRepoVolumeSource|GlusterfsVolumeSource|HostAlias|HostIP|HostPathVolumeSource|ISCSIVolumeSource|ImageVolumeSource|Lifecycle|LocalObjectReference|NFSVolumeSource|NodeAffinity|ObjectReference|PersistentVolumeClaimVolumeSource|PhotonPersistentDiskVolumeSource|PodAffinity|PodAntiAffinity|PodCondition|PodDNSConfig|PodDNSConfigOption|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodStatus|PortworxVolumeSource|Probe|ProjectedVolumeSource|QuobyteVolumeSource|RBDVolumeSource|ResourceClaim|ResourceRequirements|ResourceStatus|SELinuxOptions|ScaleIOVolumeSource|SeccompProfile|SecretVolumeSource|SecurityContext|StorageOSVolumeSource|Sysctl|Toleration|TopologySpreadConstraint|Volume|VolumeDevice|VolumeMount|VolumeMountStatus|VsphereVirtualDiskVolumeSource|WindowsSecurityContextOptions|WorkloadReference|Quantity|LabelSelector,Pod|PodSpec|Secret|ServiceAccount
followup,add_env_from_configmap,12,1,8,1,12,12,2,Deployment|DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|ConfigMapKeySelector|EnvVar|EnvVarSource|PodSpec|PodTemplateSpec|LabelSelector,Container
troubleshooting,service_no_endpoints,39,4,10,1,39,43,6,Affinity|ClientIPConfig|Container|ContainerStatus|EphemeralContainer|HostAlias|HostIP|LoadBalancerIngress|LoadBalancerStatus|LocalObjectReference|PodCondition|PodDNSConfig|PodExtendedResourceClaimStatus|PodIP|PodOS|PodReadinessGate|PodResourceClaim|PodResourceClaimStatus|PodSchedulingGate|PodSecurityContext|PodSpec|PodStatus|ResourceRequirements|Secret|ServiceAccount|ServicePort|ServiceStatus|SessionAffinityConfig|Toleration|TopologySpreadConstraint|Volume|WorkloadReference|Quantity|Condition|IntOrString,Endpoints|Pod|Service|ServiceSpec
followup,add_resource_limits_deployment,10,1,10,1,10,10,2,Deployment|DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|PodSpec|PodTemplateSpec|ResourceRequirements|LabelSelector,Container
planning,plan_redis_persistent,44,5,11,1,44,47,7,RollingUpdateStatefulSetStrategy|StatefulSetCondition|StatefulSetOrdinals|StatefulSetPersistentVolumeClaimRetentionPolicy|StatefulSetSpec|StatefulSetStatus|StatefulSetUpdateStrategy|Affinity|Container|EphemeralContainer|HostAlias|LocalObjectReference|ModifyVolumeStatus|PersistentVolumeClaimCondition|PersistentVolumeClaimSpec|PersistentVolumeClaimStatus|PodDNSConfig|PodOS|PodReadinessGate|PodResourceClaim|PodSchedulingGate|PodSecurityContext|PodSpec|PodTemplateSpec|ResourceRequirements|Secret|ServiceAccount|ServiceSpec|Toleration|TopologySelectorTerm|TopologySpreadConstraint|TypedLocalObjectReference|TypedObjectReference|VolumeResourceRequirements|WorkloadReference|StorageClass|Quantity|LabelSelector|LabelSelectorRequirement,StatefulSet|ConfigMap|PersistentVolumeClaim|Service|Volume
followup,add_hpa_to_deployment,24,3,12,1,24,22,8,DeploymentSpec|DeploymentStatus|ReplicaSet|ReplicaSetSpec|ReplicaSetStatus|StatefulSet|StatefulSetSpec|StatefulSetStatus|CrossVersionObjectReference|HorizontalPodAutoscalerSpec|HorizontalPodAutoscalerStatus|CrossVersionObjectReference|HorizontalPodAutoscalerBehavior|HorizontalPodAutoscalerCondition|HorizontalPodAutoscalerSpec|HorizontalPodAutoscalerStatus|MetricSpec|MetricStatus|ResourceMetricSource|PersistentVolumeClaim|PodTemplateSpec,Deployment|HorizontalPodAutoscaler|HorizontalPodAutoscaler
planning,plan_autoscale_ha,33,5,15,1,33,34,6,DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|RollingUpdateDeployment|HorizontalPodAutoscalerSpec|Affinity|EphemeralContainer|HostAlias|LocalObjectReference|PodDNSConfig|PodOS|PodReadinessGate|PodResourceClaim|PodSchedulingGate|PodSecurityContext|PodSpec|PodTemplateSpec|ResourceRequirements|Secret|ServiceAccount|Toleration|TopologySpreadConstraint|Volume|WorkloadReference|Quantity|LabelSelector|LabelSelectorRequirement,Deployment|HorizontalPodAutoscaler|Container|Probe|PodDisruptionBudget
followup,add_liveness_probe,11,2,18,1,11,11,2,Deployment|DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|HTTPGetAction|PodSpec|PodTemplateSpec|LabelSelector,Container|Probe
relationship,secret_usage,5,1,20,1,5,4,0,EnvVarSource|Container|PodSpec|SecretKeySelector,Secret
followup,update_image_version,9,2,22,1,9,9,2,DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|PodSpec|PodTemplateSpec|LabelSelector,Deployment|Container
planning,plan_webapp_with_db,34,8,24,1,34,35,6,DeploymentCondition|DeploymentSpec|DeploymentStatus|DeploymentStrategy|RollingUpdateDeployment|Affinity|Container|EphemeralContainer|HostAlias|LocalObjectReference|PodDNSConfig|PodOS|PodReadinessGate|PodResourceClaim|PodSchedulingGate|PodSecurityContext|PodSpec|PodTemplateSpec|ResourceRequirements|ServiceAccount|Toleration|TopologySpreadConstraint|WorkloadReference|Quantity|LabelSelector|LabelSelectorRequirement,Deployment|StatefulSet|ConfigMap|PersistentVolumeClaim|Secret|Service|Volume|Ingress
realworld,hpa_custom_metrics_yaml,4,1,25,0,46,50,9,HorizontalPodAutoscalerSpec|MetricSpec|PodsMetricSource,HorizontalPodAutoscaler
relationship,cronjob_job_pod,4,1,25,0,10,10,1,CronJobSpec|JobTemplateSpec|JobSpec,CronJob
relationship,hpa_deployment_pod,4,1,25,0,46,50,9,HorizontalPodAutoscaler|HorizontalPodAutoscalerSpec|CrossVersionObjectReference,Deployment
yaml_gen,cronjob_backup,4,1,25,0,10,10,1,CronJobSpec|JobTemplateSpec|JobSpec,CronJob
planning,plan_cronjob_batch,13,4,31,1,13,11,2,CronJobSpec|CronJobStatus|JobSpec|JobTemplateSpec|PodFailurePolicy|SuccessPolicy|ObjectReference|PodTemplateSpec|LabelSelector,CronJob|Job|PersistentVolumeClaim|Secret
conceptual,configmap_usage,3,1,33,0,4,2,1,ConfigMapVolumeSource|EnvFromSource,ConfigMap
conceptual,daemonset_purpose,3,1,33,0,8,8,1,DaemonSetSpec|PodTemplateSpec,DaemonSet
followup,add_pvc_to_statefulset,3,1,33,0,14,15,3,StatefulSetSpec|PersistentVolumeClaim,StatefulSet
followup,add_resource_limits,3,1,33,0,10,9,2,Deployment|ResourceRequirements,Container
followup,expose_with_ingress,3,1,33,0,11,10,2,IngressSpec|IngressRule,Ingress
relationship,deployment_pod_relation,3,1,33,0,29,32,6,DeploymentSpec|PodTemplateSpec,Deployment
relationship,networkpolicy_pod_selector,3,1,33,0,8,9,0,NetworkPolicySpec|NetworkPolicyIngressRule,NetworkPolicy
relationship,pvc_storageclass,3,1,33,0,14,14,1,PersistentVolumeClaim|PersistentVolumeClaimSpec,StorageClass
relationship,statefulset_pvc_pv,3,1,33,0,41,46,7,StatefulSetSpec|PersistentVolumeClaim,StatefulSet
yaml_gen,daemonset_fluentd,3,1,33,0,29,31,5,DaemonSetSpec|PodTemplateSpec,DaemonSet
yaml_gen,deployment_3_replicas,3,1,33,0,29,32,6,DeploymentSpec|PodTemplateSpec,Deployment
yaml_gen,ingress_rules,3,1,33,0,21,21,3,IngressSpec|IngressRule,Ingress
yaml_gen,service_nodeport,3,1,33,0,38,42,6,ServiceSpec|ServicePort,Service
yaml_gen,statefulset_with_pvc,3,1,33,0,41,46,7,StatefulSetSpec|PersistentVolumeClaim,StatefulSet
planning,plan_namespace_isolation,11,4,36,1,11,11,0,NetworkPolicyEgressRule|NetworkPolicyIngressRule|NetworkPolicyPeer|NetworkPolicyPort|NetworkPolicySpec|LabelSelector|LabelSelectorRequirement,ResourceQuota|NetworkPolicy|Role|RoleBinding
conceptual,job_cronjob,5,2,40,0,12,10,1,JobSpec|CronJobSpec|PodTemplateSpec,Job|CronJob
realworld,deployment_vs_statefulset_comparison,4,2,50,0,31,34,6,DeploymentSpec|StatefulSetSpec,Deployment|StatefulSet
yaml_gen,yaml_layer3_required_fields,4,2,50,0,29,32,6,DeploymentSpec|PodTemplateSpec,Deployment|Container
conceptual,deployment_basic,2,1,50,0,9,10,2,DeploymentSpec,Deployment
conceptual,namespace_quota,2,1,50,0,5,5,0,ResourceQuotaSpec,ResourceQuota
conceptual,required_fields_container,2,1,50,0,30,30,3,PodSpec,Container
conceptual,service_types,2,1,50,0,13,12,2,ServiceSpec,Service
conceptual,statefulset_storage,2,1,50,0,14,15,3,StatefulSetSpec,StatefulSet
conceptual,storageclass_concept,2,1,50,0,5,2,0,PersistentVolumeClaim,StorageClass
followup,change_service_type,2,1,50,0,10,10,2,ServiceSpec,Service
followup,scale_existing_deployment,2,1,50,0,8,9,2,DeploymentSpec,Deployment
relationship,service_selector,2,1,50,0,38,42,6,ServiceSpec,Service
yaml_gen,clusterrole_read_pods,2,1,50,0,5,4,0,PolicyRule,ClusterRole
yaml_gen,networkpolicy_deny_all,2,1,50,0,8,9,0,NetworkPolicySpec,NetworkPolicy
yaml_gen,pvc_dynamic,2,1,50,0,14,14,1,PersistentVolumeClaimSpec,PersistentVolumeClaim
command,kubectl_export_namespace_resources,7,4,57,1,7,3,0,NamespaceCondition|NamespaceSpec|NamespaceStatus,Deployment|ConfigMap|Namespace|Service
conceptual,persistent_volume_concept,5,3,60,0,14,12,1,PersistentVolumeSpec|PersistentVolumeClaimSpec,PersistentVolume|PersistentVolumeClaim|AccessMode
yaml_gen,pod_configmap_volume,5,3,60,0,86,111,11,PodSpec|ConfigMapVolumeSource,Pod|Volume|VolumeMount
conceptual,secret_types,3,2,67,1,3,0,0,SecretType,Secret|ConfigMap
conceptual,scope_accuracy_node,3,2,67,0,16,14,0,NodeSpec,Node|Pod
followup,add_readiness_probe,3,2,67,0,10,9,2,Deployment,Container|Probe
relationship,serviceaccount_token_binding,3,2,67,0,5,4,2,PodSpec,ServiceAccount|RoleBinding
realworld,configmap_volume_mount,4,3,75,1,4,3,0,ConfigMapVolumeSource,ConfigMap|Volume|VolumeMount
realworld,serviceaccount_pod_binding,4,3,75,0,6,5,2,PodSpec,ServiceAccount|Role|RoleBinding
relationship,ingress_service_pod,4,3,75,0,22,23,3,IngressSpec,Ingress|IngressRule|Service
relationship,anyof_intorstring,3,3,100,1,3,1,0,,ContainerPort|IntOrString|Container
realworld,pi_am_wondering_if_it_is,1,1,100,1,1,0,0,,Secret
yaml_gen,configmap_env,1,1,100,1,1,0,0,,ConfigMap
relationship,deep_deployment_container_resources,5,5,100,0,29,33,6,,Deployment|DeploymentSpec|PodTemplateSpec|Container|ResourceRequirements
relationship,deep_statefulset_container_probe,5,5,100,0,42,47,7,,StatefulSet|StatefulSetSpec|PodTemplateSpec|Container|Probe
relationship,oneof_volume_source,5,5,100,0,46,59,5,,Volume|ConfigMapVolumeSource|SecretVolumeSource|EmptyDirVolumeSource|PersistentVolumeClaimVolumeSource
conceptual,ingress_purpose,4,4,100,0,14,14,2,,Ingress|IngressSpec|IngressRule|HTTPIngressPath
relationship,extends_hpa_metric,3,3,100,0,46,50,9,,HorizontalPodAutoscaler|HorizontalPodAutoscalerSpec|MetricSpec
relationship,namespace_quota_relation,3,3,100,0,6,5,0,,Namespace|ResourceQuota|ResourceQuotaSpec
relationship,rbac_binding,3,3,100,0,8,7,2,,RoleBinding|RoleRef|Subject
yaml_gen,clusterrolebinding_yaml,3,3,100,0,10,9,2,,ClusterRoleBinding|ClusterRole|ServiceAccount
yaml_gen,deployment_liveness_probe,3,3,100,0,30,32,6,,Deployment|Container|Probe
conceptual,pod_spec,2,2,100,0,73,93,10,,PodSpec|Container
relationship,pod_namespace_relation,2,2,100,0,87,111,11,,Pod|Namespace
yaml_gen,rolebinding_dev,2,2,100,0,8,7,2,,RoleBinding|Role
realworld,pbased_on_a_hrefhttpsstackoverflowcomquestions599,1,1,100,0,86,111,11,,Pod
realworld,pheres_a_simplified_version_of_a,1,1,100,0,32,34,5,,Job
realworld,pim_trying_to_use_a_container,1,1,100,0,32,34,5,,Job
